date,scores,date
2018-02-05,"-1,502",2018-02-05
2018-02-06,"0,0",2018-02-06
2018-02-07,"0,0",2018-02-07
2018-02-08,"0,2732",2018-02-08
2018-02-09,"-0,296",2018-02-09
2018-02-10,"-0,11169999999999997",2018-02-10
2018-02-11,"0,0516",2018-02-11
2018-02-12,"0,0",2018-02-12
2018-02-13,"-0,34659999999999996",2018-02-13
2018-02-14,"0,0",2018-02-14
2018-02-15,"0,68",2018-02-15
2018-02-16,"0,5684",2018-02-16
2018-02-17,"-0,3736",2018-02-17
2018-02-18,"0,022199999999999998",2018-02-18
2018-02-19,"0,5859",2018-02-19
2018-02-20,"-0,296",2018-02-20
2018-02-21,"0,11020000000000008",2018-02-21
2018-02-22,"-0,3182",2018-02-22
2018-02-23,"0,0",2018-02-23
2018-02-24,"0,0",2018-02-24
2018-02-25,"0,0",2018-02-25
2018-02-26,"-0,5574",2018-02-26
2018-02-27,"0,1779",2018-02-27
2018-02-28,"0,0",2018-02-28
2018-03-01,"-0,4939",2018-03-01
2018-03-02,"-0,296",2018-03-02
2018-03-03,"-0,6315000000000001",2018-03-03
2018-03-04,"-0,9767999999999999",2018-03-04
2018-03-05,"0,4559",2018-03-05
2018-03-06,"0,8288",2018-03-06
2018-03-07,"0,0",2018-03-07
2018-03-08,"-0,49089999999999995",2018-03-08
2018-03-09,"0,5859",2018-03-09
2018-03-10,"0,31809999999999994",2018-03-10
2018-03-11,"-0,5574",2018-03-11
2018-03-12,"-0,8534",2018-03-12
2018-03-13,"-0,7272999999999998",2018-03-13
2018-03-14,"0,0",2018-03-14
2018-03-15,"0,0",2018-03-15
2018-03-16,"-0,5223",2018-03-16
2018-03-17,"-0,592",2018-03-17
2018-03-18,"0,0",2018-03-18
2018-03-19,"0,4019",2018-03-19
2018-03-20,"0,0",2018-03-20
2018-03-21,"-0,296",2018-03-21
2018-03-22,"-0,25",2018-03-22
2018-03-23,"0,1059",2018-03-23
2018-03-24,"0,1628",2018-03-24
2018-03-25,"-0,296",2018-03-25
2018-03-26,"-0,296",2018-03-26
2018-03-27,"0,2263",2018-03-27
2018-03-28,"0,3182",2018-03-28
2018-03-29,"-0,7003",2018-03-29
2018-03-30,"0,0",2018-03-30
2018-03-31,"0,0",2018-03-31
2018-04-01,"0,0",2018-04-01
2018-04-02,"0,4574",2018-04-02
2018-04-03,"-0,296",2018-04-03
2018-04-04,"-0,8533999999999999",2018-04-04
2018-04-05,"0,6369",2018-04-05
2018-04-06,"0,0",2018-04-06
2018-04-07,"-0,6281999999999999",2018-04-07
2018-04-08,"0,4588",2018-04-08
2018-04-09,"-0,3612",2018-04-09
2018-04-10,"-0,9002999999999999",2018-04-10
2018-04-11,"-0,7779",2018-04-11
2018-04-12,"0,0",2018-04-12
2018-04-13,"-0,7003",2018-04-13
2018-04-14,"-0,5574",2018-04-14
2018-04-15,"-0,5574",2018-04-15
2018-04-16,"0,0",2018-04-16
2018-04-17,"0,0",2018-04-17
2018-04-18,"0,1779",2018-04-18
2018-04-19,"-0,2263",2018-04-19
2018-04-20,"0,0",2018-04-20
2018-04-21,"0,0",2018-04-21
2018-04-22,"0,4588",2018-04-22
2018-04-23,"0,0",2018-04-23
2018-04-24,"-0,0494",2018-04-24
2018-04-25,"-0,6279999999999999",2018-04-25
2018-04-26,"-0,061899999999999955",2018-04-26
2018-04-28,"0,04400000000000004",2018-04-28
2018-04-29,"-0,3595",2018-04-29
2018-04-30,"1,1032",2018-04-30
2018-05-01,"0,34",2018-05-01
2018-05-02,"0,4215",2018-05-02
2018-05-03,"-0,028100000000000014",2018-05-03
2018-05-04,"-0,6808",2018-05-04
2018-05-05,"0,0",2018-05-05
2018-05-06,"0,0",2018-05-06
2018-05-07,"0,7419",2018-05-07
2018-05-08,"-0,27559999999999985",2018-05-08
2018-05-09,"-0,296",2018-05-09
2018-05-10,"-2,3653",2018-05-10
2018-05-11,"0,2747",2018-05-11
2018-05-12,"0,4559",2018-05-12
2018-05-13,"0,7055",2018-05-13
2018-05-14,"0,0",2018-05-14
2018-05-15,"-0,0494",2018-05-15
2018-05-16,"0,30340000000000006",2018-05-16
2018-05-17,"0,0",2018-05-17
2018-05-18,"-0,796",2018-05-18
2018-05-19,"0,0",2018-05-19
2018-05-20,"-0,296",2018-05-20
2018-05-21,"0,25900000000000006",2018-05-21
2018-05-22,"0,4003",2018-05-22
2018-05-23,"0,3256000000000001",2018-05-23
2018-05-24,"-0,7319",2018-05-24
2018-05-25,"0,0",2018-05-25
2018-05-26,"0,7208",2018-05-26
2018-05-27,"0,0",2018-05-27
2018-05-28,"0,1027",2018-05-28
2018-05-29,"-0,5509999999999999",2018-05-29
2018-05-30,"-0,296",2018-05-30
2018-05-31,"0,0",2018-05-31
2018-06-02,"-0,48429999999999995",2018-06-02
2018-06-03,"0,5638",2018-06-03
2018-06-04,"-1,0534",2018-06-04
2018-06-05,"-0,4167",2018-06-05
2018-06-06,"0,34",2018-06-06
2018-06-07,"0,0",2018-06-07
2018-06-08,"0,0",2018-06-08
2018-06-09,"0,04799999999999999",2018-06-09
2018-06-10,"0,5994",2018-06-10
2018-06-11,"0,30720000000000003",2018-06-11
2018-06-12,"0,6995",2018-06-12
2018-06-13,"-0,296",2018-06-13
2018-06-14,"-1,0358",2018-06-14
2018-06-15,"0,5441",2018-06-15
2018-06-16,"0,9285999999999999",2018-06-16
2018-06-17,"-0,296",2018-06-17
2018-06-18,"0,0",2018-06-18
2018-06-20,"0,0",2018-06-20
2018-06-21,"-1,2269999999999999",2018-06-21
2018-06-22,"0,1506",2018-06-22
2018-06-23,"-1,4479000000000002",2018-06-23
2018-06-24,"0,0",2018-06-24
2018-06-25,"0,7243",2018-06-25
2018-06-26,"-0,7625",2018-06-26
2018-06-27,"0,8755999999999999",2018-06-27
2018-06-28,"-0,4115",2018-06-28
2018-06-29,"-0,3595",2018-06-29
2018-06-30,"-0,10019999999999996",2018-06-30
2018-07-01,"-0,9309999999999999",2018-07-01
2018-07-02,"-0,7684",2018-07-02
2018-07-03,"0,636",2018-07-03
2018-07-04,"-0,8819",2018-07-04
2018-07-05,"-0,3616",2018-07-05
2018-07-06,"0,0",2018-07-06
2018-07-07,"-0,296",2018-07-07
2018-07-08,"-0,296",2018-07-08
2018-07-09,"0,10919999999999996",2018-07-09
2018-07-10,"0,0",2018-07-10
